0,10:A11,13,2,0,0,0,3,2,0,2,4,1$(0:0)6,(0:1)5,(0:2)5,(0:3)6,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)1,(3:1)0,(3:2)8,(3:3)0$$(0:0)5,(0:1)0,(0:2)0,(0:3)0,(1:0)1,(1:1)8,(1:2)9,(1:3)9,(2:0)9,(2:1)9,(2:2)10,(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^0,11,1,10^*0,11,1,10*(plain)&0,1,0&;
0,11:A12,11,0,0,0,0,1,0,1,3,5,0$(0:0)5,(0:1)7,(0:2)0,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)8,(3:1)0,(3:2)9,(3:3)9$$(0:0)8,(0:1)8,(0:2)9,(0:3)9,(1:0)9,(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^0,10,1,11^*0,10,1,11*(desert)&0,1,0&;
1,0:B1,12,0,0,0,0,0,2,1,1,4,2$(0:0)7,(0:1)6,(0:2)6,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)10,(3:1)9,(3:2)0,(3:3)9$$(0:0)0,(0:1)0,(0:2)8,(0:3)9,(1:0)9,(1:1)10,(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^0,0,1,1,2,0^*0,0,1,1,2,0*(snowland)&0,0,0&;
1,1:B2,10,0,0,0,0,2,2,0,1,4,0$(0:0)5,(0:1)5,(0:2)6,(0:3)6,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)8,(3:1)9,(3:2)0,(3:3)9$$(0:0)0,(0:1)9,(0:2)9,(0:3),(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,0,0,1,1,2,2,1^*1,0,0,1,1,2,2,1*(plain)&0,0,0&;
1,2:B3,12,0,0,0,0,0,0,1,2,5,0$(0:0)7,(0:1)0,(0:2)0,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)0,(3:1)9,(3:2)9,(3:3)9$$(0:0)8,(0:1)8,(0:2)9,(0:3)9,(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,1,0,2,1,3,2,2^*1,1,0,2,1,3,2,2*(hill)&0,0,0&;
1,3:B4,7,0,0,0,0,3,2,0,3,4,0$(0:0)5,(0:1)5,(0:2)6,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)6,(3:0)9,(3:1)9,(3:2)8,(3:3)9$$(0:0)8,(0:1)8,(0:2)9,(0:3),(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,2,0,3,1,4,2,3^*1,2,0,3,1,4,2,3*(desert)&0,0,0&;
1,4:B5,11,0,0,0,0,3,2,0,3,3,4$(0:0)6,(0:1)5,(0:2)5,(0:3)6,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)9,(3:1)8,(3:2)8,(3:3)9$$(0:0)5,(0:1)0,(0:2)0,(0:3)0,(1:0)8,(1:1)9,(1:2)10,(1:3)10,(2:0)10,(2:1)10,(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,3,0,4,1,5,2,4^*1,3,0,4,1,5,2,4*(plain)&0,0,0&;
1,5:B6,14,0,0,0,0,1,3,0,2,4,1$(0:0)5,(0:1)6,(0:2)6,(0:3)6,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)8,(3:1)10,(3:2)8,(3:3)0$$(0:0)0,(0:1)0,(0:2)0,(0:3)0,(1:0)0,(1:1)9,(1:2)9,(1:3)9,(2:0)9,(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,4,0,5,1,6,2,5^*1,4,0,5,1,6,2,5*(hill)&0,0,0&;
1,6:B7,0,10,1,0,0,2,0,1,2,5,0$(0:0)7,(0:1)5,(0:2)5,(0:3)1,(1:0)1,(1:1)1,(1:2)1,(1:3)1,(2:0)1,(2:1)1,(2:2)1,(2:3)1,(3:0)8,(3:1)2,(3:2)8,(3:3)1$$(0:0)9,(0:1)9,(0:2)9,(0:3)9,(1:0)9,(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,5,0,6,1,7,2,6^*1,5,0,6,1,7,2,6*(hill)&0,0,0&;
1,7:B8,11,0,0,0,0,4,1,0,1,4,0$(0:0)5,(0:1)5,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)0,(3:1)0,(3:2)9,(3:3)8$$(0:0)6,(0:1)0,(0:2)9,(0:3)9,(1:0)9,(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,6,0,7,1,8,2,7^*1,6,0,7,1,8,2,7*(plain)&0,0,0&;
1,8:B9,14,0,0,0,0,2,3,0,1,4,1$(0:0)6,(0:1)5,(0:2)6,(0:3)6,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)10,(3:1)8,(3:2)9,(3:3)9$$(0:0)5,(0:1)0,(0:2)0,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)9,(2:0)9,(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,7,0,8,1,9,2,8^*1,7,0,8,1,9,2,8*(hill)&0,0,0&;
1,9:A10,9,1,0,0,0,3,1,0,3,3,1$(0:0)5,(0:1)6,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)10,(3:1)9,(3:2)0,(3:3)9$$(0:0)1,(0:1)8,(0:2)8,(0:3)8,(1:0)9,(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,8,1,10,2,9^*1,8,1,10,2,9*(desert)&0,1,0&;
1,10:B11,11,0,0,0,0,4,2,0,3,5,0$(0:0)5,(0:1)6,(0:2)5,(0:3)6,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)9,(3:1)9,(3:2)8,(3:3)9$$(0:0)5,(0:1)5,(0:2)0,(0:3)0,(1:0)0,(1:1)8,(1:2)8,(1:3)9,(2:0)9,(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,9,0,10,1,11^*1,9,0,10,1,11*(plain)&0,0,0&;
1,11:B12,0,17,0,0,0,1,3,0,0,5,1$(0:0)5,(0:1)6,(0:2)6,(0:3)6,(1:0)1,(1:1)1,(1:2)1,(1:3)1,(2:0)1,(2:1)1,(2:2)1,(2:3)1,(3:0)1,(3:1)9,(3:2)10,(3:3)9$$(0:0)1,(0:1)1,(0:2)1,(0:3)1,(1:0)1,(1:1)1,(1:2)1,(1:3)1,(2:0)9,(2:1)9,(2:2)9,(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,10,0,11,2,11^*1,10,0,11,2,11*(plain)&0,0,0&;
2,0:C1,15,0,0,0,0,0,3,0,1,5,1$(0:0)6,(0:1)6,(0:2)6,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)8,(3:1)10,(3:2)0,(3:3)0$$(0:0)0,(0:1)0,(0:2)0,(0:3)0,(1:0)9,(1:1)9,(1:2)9,(1:3)9,(2:0)9,(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,0,2,1,3,0^*1,0,2,1,3,0*(plain)&0,0,0&;
2,1:C2,15,0,0,0,0,1,2,0,1,4,4$(0:0)5,(0:1)6,(0:2)6,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)0,(3:1)9,(3:2)10,(3:3)10$$(0:0)0,(0:1)0,(0:2)0,(0:3)0,(1:0)0,(1:1)8,(1:2)9,(1:3)9,(2:0)9,(2:1)10,(2:2)10,(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^2,0,1,1,2,2,3,1^*2,0,1,1,2,2,3,1*(river)&0,0,0&;
2,2:C3,12,0,0,0,0,4,1,0,2,4,1$(0:0)5,(0:1)5,(0:2)6,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)10,(3:1)9,(3:2)0,(3:3)0$$(0:0)5,(0:1)0,(0:2)0,(0:3)8,(1:0)8,(1:1)9,(1:2)9,(1:3)9,(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^2,1,1,2,2,3,3,2^*2,1,1,2,2,3,3,2*(snowland)&0,0,0&;
2,3:C4,10,0,0,0,0,0,0,1,0,5,1$(0:0)7,(0:1)0,(0:2)0,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)9,(3:0)10,(3:1)9,(3:2)9,(3:3)9$$(0:0)9,(0:1),(0:2),(0:3),(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^2,2,1,3,2,4,3,3^*2,2,1,3,2,4,3,3*(desert)&0,0,0&;
2,4:C5,9,0,0,0,0,0,1,1,0,4,3$(0:0)6,(0:1)7,(0:2)0,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)9,(3:0)10,(3:1)10,(3:2)10,(3:3)9$$(0:0)9,(0:1)9,(0:2),(0:3),(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^2,3,1,4,2,5,3,4^*2,3,1,4,2,5,3,4*(hill)&0,0,0&;
2,5:C6,12,0,0,0,0,3,2,0,1,4,1$(0:0)5,(0:1)5,(0:2)5,(0:3)6,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)0,(3:1)0,(3:2)10,(3:3)0$$(0:0)6,(0:1)0,(0:2)8,(0:3)9,(1:0)9,(1:1)9,(1:2)9,(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^2,4,1,5,2,6,3,5^*2,4,1,5,2,6,3,5*(river)&0,0,0&;
2,6:C7,11,1,1,0,0,7,0,0,1,4,1$(0:0)5,(0:1)5,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)8,(3:1)10,(3:2)0,(3:3)0$$(0:0)5,(0:1)5,(0:2)5,(0:3)0,(1:0)1,(1:1)2,(1:2)9,(1:3)9,(2:0)9,(2:1)9,(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^2,5,1,6,2,7,3,6^*2,5,1,6,2,7,3,6*(desert)&0,0,0&;
2,7:C8,9,0,0,0,0,1,2,0,3,3,1$(0:0)6,(0:1)6,(0:2)5,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)10,(3:1)9,(3:2)8,(3:3)9$$(0:0)8,(0:1)8,(0:2)9,(0:3),(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^2,6,1,7,2,8,3,7^*2,6,1,7,2,8,3,7*(hill)&0,0,0&;
2,8:C9,8,0,0,0,0,1,1,1,0,4,2$(0:0)6,(0:1)7,(0:2)5,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)9,(3:0)9,(3:1)10,(3:2)9,(3:3)9$$(0:0)10,(0:1),(0:2),(0:3),(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^2,7,1,8,2,9,3,8^*2,7,1,8,2,9,3,8*(mountain)&0,0,0&;
2,9:B10,11,0,0,0,0,5,1,0,2,4,0$(0:0)5,(0:1)5,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)8,(3:1)9,(3:2)9,(3:3)9$$(0:0)5,(0:1)6,(0:2)0,(0:3)0,(1:0)0,(1:1)8,(1:2)9,(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^2,8,1,9,3,9^*2,8,1,9,3,9*(river)&0,0,0&;
2,10:;
2,11:C12,15,0,0,0,0,5,1,0,1,5,1$(0:0)6,(0:1)5,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)0,(3:1)9,(3:2)10,(3:3)0$$(0:0)5,(0:1)5,(0:2)0,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)8,(2:0)9,(2:1)9,(2:2)9,(2:3)9,(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^1,11,3,11^*1,11,3,11*(mountain)&0,0,0&;
3,0:D1,10,0,0,0,0,2,2,0,5,3,1$(0:0)5,(0:1)6,(0:2)5,(0:3)6,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)8,(3:1)9,(3:2)8,(3:3)8$$(0:0)0,(0:1)0,(0:2)8,(0:3)8,(1:0)9,(1:1)9,(1:2)10,(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^2,0,3,1,4,0^*2,0,3,1,4,0*(snowland)&0,0,0&;
3,1:D2,9,0,0,0,0,0,1,1,4,3,2$(0:0)6,(0:1)7,(0:2)0,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)8,(3:0)9,(3:1)10,(3:2)8,(3:3)8$$(0:0)8,(0:1)9,(0:2)9,(0:3)10,(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,0,2,1,3,2,4,1^*3,0,2,1,3,2,4,1*(mountain)&0,0,0&;
3,2:D3,12,0,0,0,0,1,3,0,1,4,1$(0:0)5,(0:1)6,(0:2)6,(0:3)6,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)10,(3:1)0,(3:2)0,(3:3)0$$(0:0)0,(0:1)8,(0:2)9,(0:3)9,(1:0)9,(1:1)9,(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,1,2,2,3,3,4,2^*3,1,2,2,3,3,4,2*(river)&0,0,0&;
3,3:D4,11,0,0,0,0,5,1,0,4,4,2$(0:0)6,(0:1)5,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)10,(3:1)8,(3:2)8,(3:3)8$$(0:0)5,(0:1)5,(0:2)0,(0:3)0,(1:0)0,(1:1)8,(1:2)9,(1:3)9,(2:0)9,(2:1)9,(2:2)10,(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,2,2,3,3,4,4,3^*3,2,2,3,3,4,4,3*(snowland)&0,0,0&;
3,4:D5,14,0,0,0,0,3,1,0,2,4,0$(0:0)6,(0:1)5,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)0,(3:1)9,(3:2)8,(3:3)0$$(0:0)0,(0:1)0,(0:2)0,(0:3)0,(1:0)8,(1:1)9,(1:2)9,(1:3)9,(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,3,2,4,3,5,4,4^*3,3,2,4,3,5,4,4*(hill)&0,0,0&;
3,5:D6,11,0,0,0,0,0,1,1,2,4,0$(0:0)7,(0:1)6,(0:2)0,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)8,(3:1)9,(3:2)8,(3:3)9$$(0:0)0,(0:1)9,(0:2)9,(0:3),(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,4,2,5,3,6^*3,4,2,5,3,6*(river)&0,0,0&;
3,6:D7,13,2,2,0,0,2,2,0,3,4,0$(0:0)6,(0:1)5,(0:2)5,(0:3)6,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)1,(3:1)2,(3:2)9,(3:3)8$$(0:0)0,(0:1)0,(0:2)0,(0:3)0,(1:0)0,(1:1)1,(1:2)2,(1:3)8,(2:0)8,(2:1)9,(2:2)9,(2:3)9,(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,5,2,6,3,7,4,6^*3,5,2,6,3,7,4,6*(snowland)&0,0,0&;
3,7:D8,0,13,0,0,0,0,0,1,3,4,1$(0:0)7,(0:1)1,(0:2)1,(0:3)1,(1:0)1,(1:1)1,(1:2)1,(1:3)1,(2:0)1,(2:1)1,(2:2)1,(2:3)1,(3:0)10,(3:1)9,(3:2)9,(3:3)8$$(0:0)1,(0:1)1,(0:2)8,(0:3)8,(1:0)9,(1:1)9,(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,6,2,7,3,8,4,7^*3,6,2,7,3,8,4,7*(plain)&0,0,0&;
3,8:D9,6,0,0,0,0,3,1,1,3,4,1$(0:0)7,(0:1)6,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)5,(2:3)8,(3:0)10,(3:1)9,(3:2)8,(3:3)9$$(0:0)8,(0:1)9,(0:2)9,(0:3),(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,7,2,8,3,9,4,8^*3,7,2,8,3,9,4,8*(desert)&0,0,0&;
3,9:D10,11,0,0,0,0,5,1,0,3,4,0$(0:0)6,(0:1)5,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)8,(3:1)9,(3:2)8,(3:3)9$$(0:0)5,(0:1)5,(0:2)0,(0:3)0,(1:0)0,(1:1)8,(1:2)9,(1:3)9,(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,8,2,9,3,10,4,9^*3,8,2,9,3,10,4,9*(hill)&0,0,0&;
3,10:D11,11,0,0,0,0,5,1,0,3,4,3$(0:0)5,(0:1)6,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)9,(3:1)10,(3:2)8,(3:3)9$$(0:0)5,(0:1)5,(0:2)0,(0:3)0,(1:0)0,(1:1)8,(1:2)8,(1:3)9,(2:0)9,(2:1)10,(2:2)10,(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,9,3,11,4,10^*3,9,3,11,4,10*(hill)&0,0,0&;
3,11:D12,11,0,0,0,0,1,2,0,1,3,1$(0:0)6,(0:1)5,(0:2)6,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)0,(3:1)8,(3:2)0,(3:3)9$$(0:0)9,(0:1)9,(0:2)10,(0:3),(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^3,10,2,11,4,11^*3,10,2,11,4,11*(river)&0,0,0&;
